# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4346
#@/user_id	59ea4f9f-a96e-4312-a182-97f9f0abbd26
a 	啊	c=30 d=0.695769 t=4346
bian xing jin gang 	变形金刚	c=1 d=1 t=684
biao qing bao 	表情包	c=1 d=1 t=3746
bie 	别	c=26 d=0.76498 t=4346
bie lai 	别来	c=1 d=1 t=2425
bie ren 	别人	c=2 d=1.00001 t=3990
bing 	兵	c=2 d=1.10076 t=2422
bing 	并	c=1 d=1 t=1962
bo 	波	c=2 d=1.00583 t=2421
bo fang qi 	播放器	c=1 d=1 t=1880
bo ke 	博客	c=3 d=1.97066 t=4147
bo li 	玻璃	c=1 d=1 t=1625
bo li xin 	玻璃心	c=1 d=0.733447 t=4346
bu 	不	c=33 d=2.65423 t=4346
bu 	步	c=1 d=1 t=845
bu cheng 	不成	c=1 d=1 t=1584
bu chu 	不出	c=2 d=1.00007 t=2880
bu cuo 	不错	c=2 d=1.00012 t=2630
bu da 	不大	c=1 d=1 t=935
bu dai 	不带	c=1 d=1 t=4173
bu dang ren 	不当人	c=1 d=1 t=2182
bu dao 	不到	c=1 d=1 t=3846
bu dao 	布道	c=2 d=1.99501 t=1540
bu dui 	不对	c=1 d=1 t=2316
bu gan 	不敢	c=1 d=1 t=3309
bu guo fen 	不过分	c=1 d=1 t=3359
bu hao 	不好	c=2 d=0.380983 t=4346
bu hao chu li 	不好处理	c=1 d=1 t=2658
bu hui 	不会	c=2 d=1.00966 t=2745
bu hui ba 	不会吧	c=2 d=1.99501 t=1823
bu hui lai 	不会来	c=1 d=1 t=774
bu hui lai 	补回来	c=1 d=1 t=765
bu huo 	不活	c=1 d=1 t=1185
bu jie yi 	不介意	c=1 d=1 t=4065
bu ju 	布局	c=1 d=1 t=4344
bu liao 	不了	c=0 d=0.1 t=2638
bu pa 	不怕	c=1 d=1 t=2638
bu ru 	不如	c=4 d=1.56462 t=4346
bu shi 	不是	c=13 d=0.71177 t=4346
bu xia qu 	不下去	c=1 d=1 t=2993
bu xiang 	不想	c=1 d=1 t=1417
bu xing 	不行	c=3 d=0.522046 t=4346
bu yao 	不要	c=1 d=1 t=3603
bu yi 	不宜	c=2 d=1.99005 t=842
bu ying xiang 	不影响	c=1 d=1 t=3418
bu yong 	不用	c=3 d=1.00711 t=3025
bu zhi chi 	不支持	c=1 d=1 t=1197
bu zhi dao 	不知道	c=6 d=0.615697 t=4346
bu zhi qing 	不知情	c=1 d=1 t=1920
cai 	才	c=2 d=1.00119 t=4200
cai 	菜	c=15 d=0.690782 t=4346
cai shi 	才是	c=2 d=0.408608 t=4346
cai zhi 	材质	c=2 d=1.88692 t=937
can 	惨	c=1 d=1 t=1783
can xie 	残屑	c=1 d=1 t=4043
cao 	草	c=9 d=0.108067 t=4346
cao zuo 	操作	c=1 d=1 t=621
ce shi 	测试	c=3 d=1.98511 t=3812
ce su 	测速	c=1 d=1 t=2454
ce suo 	厕所	c=1 d=0.509156 t=4346
ceng 	层	c=1 d=1 t=2876
cha bu duo 	差不多	c=2 d=1.73345 t=3778
cha dian 	差点	c=2 d=1.71534 t=3645
cha kan 	查看	c=2 d=1.07577 t=2590
chao 	潮	c=1 d=0.127454 t=4346
chao 	超	c=1 d=1 t=756
chao chao 	超超	c=1 d=1 t=2243
chao chu 	超出	c=0 d=0.1 t=2269
chao chu lai 	超出来	c=1 d=1 t=2270
chao guo qu 	抄过去	c=1 d=1 t=2917
chao pin 	超频	c=3 d=2.93654 t=2250
chao yue 	超越	c=1 d=1 t=695
chen rui 	陈睿	c=1 d=1 t=4178
cheng 	成	c=5 d=1.48684 t=4346
cheng gong 	成功	c=1 d=1 t=3323
cheng li 	成立	c=2 d=1.9802 t=2487
cheng ren 	承认	c=1 d=1 t=3455
cheng xu 	程序	c=0 d=0.1 t=3251
cheng xu yuan 	程序员	c=2 d=1 t=4239
cheng zi 	橙子	c=1 d=1 t=4186
chi 	吃	c=1 d=1 t=1554
chi dao 	吃到	c=1 d=1 t=597
chi fan 	吃饭	c=1 d=1 t=2778
chi xu 	持续	c=1 d=1 t=3977
chong he 	重合	c=1 d=1 t=1355
chong qi 	重启	c=1 d=0.532592 t=4346
chou 	丑	c=2 d=1.89137 t=2923
chu 	出	c=15 d=1.04178 t=4346
chu fa 	触发	c=1 d=1 t=3989
chu li 	处理	c=0 d=0.1 t=2657
chu zhuang 	出装	c=1 d=1 t=2882
chuan 	船	c=1 d=1 t=3911
chuan jia 	传家	c=1 d=1 t=1936
chuan shuo 	传说	c=1 d=1 t=2118
chuan zhang 	船长	c=1 d=1 t=1850
chuang zao 	创造	c=1 d=1 t=1181
chuang zuo 	创作	c=1 d=1 t=1183
chun 	春	c=2 d=1.00482 t=1801
chun 	纯	c=1 d=1 t=1935
chun 	蠢	c=3 d=1.00101 t=3630
ci 	次	c=2 d=1.00415 t=2794
ci 	词	c=1 d=0.102797 t=4346
ci ci 	次次	c=2 d=1.01682 t=2512
ci ci 	此次	c=2 d=1.86071 t=1694
ci hui liang 	词汇量	c=1 d=1 t=2216
ci ke wu liu qi 	刺客五六七	c=1 d=1 t=4311
ci ke xin tiao 	刺客信条	c=1 d=1 t=4333
ci ku 	词库	c=1 d=0.0972958 t=4346
ci tie 	磁贴	c=1 d=0.529935 t=4346
cong 	从	c=1 d=1 t=1396
cong ling kai shi 	从零开始	c=2 d=0.25924 t=4346
cong ming qi lai 	聪明起来	c=0 d=0.1 t=895
cou huo 	凑活	c=1 d=1 t=3737
cui 	脆	c=1 d=1 t=2867
cuo 	错	c=1 d=1 t=4251
cuo le 	错了	c=1 d=1.00001 t=4035
da 	大	c=13 d=1.01115 t=4346
da 	打	c=33 d=0.74295 t=4346
da an 	答案	c=0 d=0.1 t=4014
da bu dong 	打不动	c=1 d=1 t=3287
da bu fen 	大部分	c=1 d=1 t=3656
da bu guo 	打不过	c=2 d=1.85642 t=3457
da chu 	打出	c=1 d=1 t=4005
da da suo duan 	大大缩短	c=0 d=0.00702988 t=4346
da diao 	打掉	c=1 d=1 t=2091
da dou 	打斗	c=1 d=1 t=1132
da e yu 	大鳄鱼	c=1 d=1 t=1280
da gai 	大概	c=1 d=1 t=3107
da ge 	大哥	c=1 d=1 t=3698
da gong 	打工	c=1 d=1 t=775
da guo 	打过	c=1 d=1 t=3452
da jia 	大家	c=3 d=1.52267 t=3560
da ju 	打局	c=2 d=1.99501 t=2963
da lao 	大佬	c=1 d=1 t=1174
da long 	大龙	c=3 d=1.02282 t=3298
da luan dou 	大乱斗	c=2 d=0.965605 t=4346
da shu 	大树	c=1 d=1 t=2862
da si 	打死	c=1 d=1 t=3580
da suan 	打算	c=0 d=0.1 t=2678
da ti 	答题	c=1 d=1 t=3020
da tuan 	大团	c=1 d=1 t=1252
da wan 	打完	c=1 d=0.970446 t=4346
da xiao 	大小	c=1 d=1 t=1040
da xiong 	大雄	c=1 d=1 t=1881
da ye 	大爷	c=1 d=1 t=2560
da ye 	大野	c=1 d=1 t=2561
da ying 	打赢	c=1 d=1 t=2202
da za hui 	大杂烩	c=1 d=1 t=3761
da zhang 	大涨	c=1 d=1 t=2954
da zhao 	大招	c=2 d=0.117068 t=4346
dai 	代	c=4 d=1.0528 t=1739
dai 	带	c=6 d=0.416866 t=4346
dai li 	代理	c=5 d=2.91999 t=2847
dai ma 	代码	c=2 d=1.00004 t=4340
dai ti 	代替	c=1 d=1 t=1150
dan 	单	c=4 d=0.831104 t=4346
dan chun 	单纯	c=1 d=1 t=4034
dan ci 	单词	c=1 d=1 t=1129
dan fan 	但凡	c=1 d=1 t=1594
dan ji 	单击	c=1 d=1 t=3955
dan ji 	单机	c=1 d=1 t=3956
dan shi 	但是	c=2 d=1 t=3735
dang 	当	c=10 d=1.94009 t=3569
dang jian pai 	挡箭牌	c=1 d=1 t=2516
dao 	刀	c=3 d=1.00198 t=4246
dao 	到	c=4 d=0.161218 t=4346
dao ban 	盗版	c=1 d=1 t=3585
dao hang 	导航	c=1 d=0.444858 t=4346
dao mei 	刀妹	c=2 d=0.591555 t=4346
dao ru 	导入	c=2 d=1.0034 t=4274
de 	的	c=129 d=5.8502 t=4346
de dao 	得到	c=1 d=1 t=2841
de jiu 	得救	c=0 d=0.00710054 t=4346
de jiu zi dao 	得救自导	c=1 d=0.0713613 t=4346
de le 	得了	c=1 d=1 t=3717
de zui 	得罪	c=1 d=1 t=3556
dei 	得	c=2 d=0.276651 t=4346
deng 	等	c=4 d=0.165299 t=4346
deng 	邓	c=4 d=1.02725 t=2122
deng hou 	等候	c=1 d=1 t=2600
deng lu 	登录	c=1 d=1 t=2673
deng xia 	灯下	c=1 d=1 t=2601
deng xia 	等下	c=1 d=1 t=2602
deng zhe 	等着	c=2 d=1.04783 t=2199
di 	低	c=1 d=1 t=2521
di de 	低的	c=1 d=1 t=3781
di er 	第二	c=1 d=1 t=1397
di yi 	第一	c=1 d=0.398519 t=4346
di yi bo 	第一波	c=2 d=0.434645 t=4346
di yi shi jian 	第一时间	c=1 d=1 t=3165
dian 	店	c=2 d=1.00326 t=4330
dian 	点	c=23 d=3.74657 t=4346
dian 	电	c=3 d=2.41705 t=4329
dian ba 	点吧	c=2 d=1.17817 t=3300
dian cuo 	点错	c=1 d=1 t=2317
dian fei 	电费	c=3 d=2.8696 t=3888
dian hu 	电弧	c=2 d=0.0893673 t=4346
dian ka 	点卡	c=0 d=0.1 t=895
dian ka li shi de chao liu ma shang lai cong ming qi lai 	点卡历史的潮流马上来聪明起来	c=1 d=1 t=896
dian le 	点了	c=1 d=1 t=4257
dian nao 	电脑	c=2 d=1.64404 t=3886
dian ping 	点评	c=2 d=1.93239 t=1173
dian shi 	电视	c=1 d=1 t=1316
dian zi ban 	电子版	c=2 d=1.38481 t=2307
diao 	掉	c=1 d=1 t=1415
diao da 	吊打	c=1 d=1 t=2247
die 	爹	c=1 d=1 t=1427
ding 	盯	c=1 d=0.189191 t=4346
ding 	顶	c=1 d=0.187308 t=4346
ding ji sai 	顶级赛	c=1 d=1 t=4051
ding wei 	定位	c=0 d=0.1 t=4052
ding wei sai 	定位赛	c=1 d=1 t=4053
ding yue 	订阅	c=1 d=1 t=3782
diu 	丢	c=2 d=0.774916 t=4346
diu ren 	丢人	c=1 d=1 t=4206
dong 	动	c=1 d=1 t=3026
dong 	懂	c=3 d=1.00016 t=3722
dong hua 	动画	c=1 d=1 t=2481
dong jing 	东京	c=1 d=1 t=4305
dong le 	动了	c=0 d=0.1 t=3348
dong man 	动漫	c=14 d=1.42898 t=4346
dong man zhi jia 	动漫之家	c=2 d=1.00037 t=3204
dong tai 	动态	c=2 d=1 t=4220
dong xi 	东西	c=5 d=0.17552 t=4346
dou 	斗	c=1 d=0.128735 t=4346
dou 	都	c=44 d=1.45333 t=4346
dou ban 	豆瓣	c=3 d=0.494109 t=4346
dou dou feng 	兜兜风	c=1 d=1 t=2219
dou shi 	都是	c=5 d=0.332871 t=4346
dou xing 	都行	c=1 d=1 t=1074
dou yao 	都要	c=1 d=1 t=3657
du zi yi ren 	独自一人	c=1 d=1 t=4120
duan 	短	c=1 d=1 t=572
duan 	端	c=0 d=0.1 t=2814
duan kou 	端口	c=1 d=1 t=1498
dui 	对	c=2 d=0.182684 t=4346
dui ma 	对吗	c=2 d=1.99501 t=1550
dui mian 	对面	c=6 d=0.254107 t=4346
dui xian 	对线	c=8 d=0.787236 t=4346
dun 	吨	c=1 d=1 t=1721
dun 	盾	c=1 d=0.554327 t=4346
duo 	多	c=6 d=0.199578 t=4346
duo 	躲	c=1 d=1 t=1286
duo da 	多大	c=1 d=1 t=870
duo jiu 	多久	c=2 d=1.01955 t=3880
duo kong 	多空	c=0 d=0.1 t=980
duo kong nan jing 	多空南京	c=1 d=1 t=981
duo le 	多了	c=1 d=0.657047 t=4346
duo shao 	多少	c=3 d=1.00025 t=3878
duo shao qian 	多少钱	c=4 d=2.27943 t=3891
e e e 	鹅鹅鹅	c=1 d=1 t=1998
e fei 	俄非	c=1 d=1 t=3985
e le me 	饿了么	c=1 d=1 t=3635
e luo si 	俄罗斯	c=1 d=1 t=3328
e mi 	遏密	c=1 d=1 t=3295
e xin 	恶心	c=7 d=0.666977 t=4346
e yu 	鳄鱼	c=2 d=1.98511 t=1352
en 	恩	c=1 d=1 t=3613
er 	而	c=1 d=1 t=2482
er ci yuan 	二刺螈	c=1 d=1 t=2941
er ci yuan 	二次元	c=1 d=0.433874 t=4346
er ji 	二级	c=2 d=1.95123 t=4203
er qie 	而且	c=3 d=2.83173 t=3085
er shi 	而是	c=1 d=1 t=2473
er zi 	儿子	c=2 d=1 t=3775
fa 	发	c=2 d=0.0972957 t=4346
fa shi 	法师	c=1 d=1.09501 t=874
fa shi mao 	法师帽	c=1 d=1 t=875
fa xian 	发现	c=1 d=1 t=3049
fa yu 	发育	c=1 d=1 t=1430
fan da 	反打	c=1 d=1 t=1300
fan quan 	饭圈	c=1 d=1 t=3927
fan shi 	范式	c=1 d=1 t=3311
fan tang 	饭堂	c=1 d=1 t=689
fan yi 	翻译	c=4 d=1.04803 t=4177
fan yu 	繁育	c=1 d=1 t=1624
fang 	放	c=2 d=1.96079 t=599
fang cheng 	方程	c=1 d=1 t=550
fang da 	放大	c=1 d=1 t=1751
fang xiang jian 	方向键	c=1 d=1 t=1988
fei 	费	c=1 d=1 t=3899
fei 	非	c=3 d=1.07031 t=3272
fei 	飞	c=2 d=1.00013 t=2653
fei ge 	飞鸽	c=1 d=1 t=867
fei yao 	非要	c=2 d=1.24414 t=1382
fei yong 	费用	c=1 d=1 t=3195
fen 	粪	c=1 d=1 t=2656
fen bian 	分辨	c=1 d=1 t=1109
fen bian lv 	分辨率	c=1 d=1 t=757
fen lei 	分类	c=1 d=1 t=4132
fen li 	分离	c=2 d=1.02004 t=3598
fen liu 	分流	c=1 d=1 t=4268
fen ping 	分屏	c=1 d=1 t=2072
fen si 	粉丝	c=1 d=1 t=3232
fen xiang tu pian 	分享图片	c=1 d=1 t=2066
fen zhong 	分钟	c=5 d=0.546504 t=4346
feng 	风	c=1 d=1 t=2866
feng huang 	凤凰	c=1 d=1 t=2610
feng po zi 	疯婆子	c=1 d=1 t=2556
fu fei 	付费	c=1 d=1 t=2840
fu he guan 	复合管	c=3 d=0.294838 t=4346
fu shen 	俯身	c=1 d=1 t=2707
fu wu qi 	服务器	c=1 d=1 t=2563
fu zhou 	福州	c=1 d=1 t=871
fu zhu 	辅助	c=4 d=1.10716 t=2353
gai 	改	c=2 d=1.01984 t=3940
gai 	该	c=2 d=0.137381 t=4346
gai ming 	改名	c=1 d=1 t=3211
gan 	干	c=1 d=1 t=3033
gan cui 	干脆	c=2 d=1.98511 t=2427
gan huo 	干活	c=1 d=1 t=3674
gan jin 	赶紧	c=1 d=1 t=1810
gan jing 	干净	c=1 d=1 t=969
gan jue 	感觉	c=8 d=3.3445 t=2786
gan ma 	干嘛	c=0 d=0.1 t=2531
gan ma qu le 	干嘛去了	c=1 d=1 t=2532
gan yu 	甘雨	c=1 d=1 t=2062
gan yuan 	甘愿	c=1 d=1 t=3566
gang ao tai 	港澳台	c=2 d=1.37158 t=3740
gang lian 	钢炼	c=1 d=1 t=3555
gao 	搞	c=1 d=0.208045 t=4346
gao 	高	c=3 d=1.43031 t=2529
gao de 	搞得	c=1 d=1 t=2620
gao de 	高的	c=1 d=1 t=2619
gao ma 	高吗	c=1 d=1 t=3853
gao mu 	高木	c=1 d=1 t=3910
gao qiao li yi 	高桥李依	c=3 d=0.130029 t=4346
gao qing 	高清	c=1 d=1 t=707
gao san 	高三	c=2 d=0.0889216 t=4346
gao xiao 	搞笑	c=1 d=1 t=2022
ge 	个	c=41 d=1.55629 t=4346
ge 	哥	c=1 d=1 t=869
ge bu lin 	哥布林	c=1 d=1 t=3264
ge ge 	割割	c=3 d=1.32536 t=3923
ge ge 	哥哥	c=2 d=1.03615 t=4184
ge ren 	个人	c=2 d=1.94176 t=4164
ge shi 	格式	c=2 d=0.11475 t=4346
ge wei shu 	个位数	c=1 d=1 t=3277
gei 	给	c=7 d=1.61825 t=4346
gei yan 	给眼	c=1 d=1 t=1772
gen ben 	根本	c=3 d=1.9896 t=2744
geng 	更	c=1 d=1 t=2719
geng da 	更大	c=2 d=1.99501 t=1153
geng huan 	更换	c=1 d=1 t=1201
geng xin 	更新	c=1 d=1 t=2361
gong an pai 	公安派	c=1 d=1 t=3852
gong fu 	功夫	c=1 d=1 t=1501
gong hao 	功耗	c=2 d=1.45212 t=2274
gong ji 	攻击	c=1 d=1 t=3214
gong ji ju li 	攻击距离	c=1 d=1 t=1036
gong ju 	工具	c=2 d=1.00001 t=3202
gong si 	公司	c=1 d=1 t=2475
gong su 	攻速	c=1 d=1 t=3953
gong yi 	公益	c=1 d=1 t=3087
gong zuo 	工作	c=1 d=1 t=1207
gou 	狗	c=7 d=1.10439 t=4259
gou da 	够大	c=1 d=1 t=1147
gou le 	够了	c=1 d=1 t=3874
gou tou 	狗头	c=1 d=1 t=1943
gou xiong 	狗熊	c=1 d=1 t=1139
gu feng 	古风	c=3 d=1.97221 t=1977
gu ge 	谷歌	c=2 d=1.99005 t=4176
gu ji 	估计	c=1 d=1 t=2009
gu jia 	股价	c=1 d=1 t=2944
gu li 	谷粒	c=1 d=1 t=876
gu piao 	股票	c=1 d=1 t=4095
gu wen chang 	谷文昌	c=1 d=1 t=1497
gua fu 	寡妇	c=1 d=0.0875977 t=4346
gua ji 	挂机	c=1 d=1 t=1769
gua sha 	刮痧	c=3 d=1.00507 t=2544
guan 	关	c=3 d=1.00008 t=2932
guan bi 	关闭	c=2 d=0.442639 t=4346
guan li 	管理	c=2 d=1.0037 t=2287
guan wang 	官网	c=3 d=1.06724 t=3909
guan xi 	关系	c=3 d=1.14053 t=4346
guan yu 	关于	c=2 d=1.99005 t=2467
guan zhu 	关注	c=1 d=0.121238 t=4346
guang 	光	c=1 d=1 t=2411
guang gai 	光该	c=1 d=1 t=1411
gui 	贵	c=2 d=1.00076 t=2343
gui mie zhi ren 	鬼灭之刃	c=2 d=1 t=4310
gun 	滚	c=5 d=1.00012 t=3626
guo 	国	c=2 d=1.89137 t=2924
guo 	过	c=7 d=0.201904 t=4346
guo jia jia 	过家家	c=1 d=1 t=3148
guo lai 	过来	c=1 d=1 t=3959
guo man 	国漫	c=1 d=1 t=2500
guo nian le 	过年了	c=1 d=1 t=1795
guo ran 	果然	c=1 d=1 t=3205
guo xi wa 	过膝袜	c=7 d=6.89613 t=2452
ha 	哈	c=2 d=0.169204 t=4346
ha ha 	哈哈	c=2 d=0.0968104 t=4346
hai 	害	c=1 d=1 t=2368
hai 	海	c=9 d=1.00007 t=4307
hai 	还	c=12 d=1.02971 t=4346
hai neng 	还能	c=1 d=1 t=1750
hai o 	还哦	c=1 d=1 t=3032
hai shi 	还是	c=8 d=0.275271 t=4346
hai xing 	还行	c=6 d=0.238316 t=4346
hai yao 	海妖	c=1 d=1 t=2878
hai yao 	海药	c=1 d=1 t=2875
hai you 	还有	c=4 d=1.00381 t=3837
hai zi 	孩子	c=2 d=1 t=3691
han bing 	寒冰	c=1 d=1 t=1089
han guo 	韩国	c=2 d=0.194601 t=4346
hao 	好	c=12 d=0.664591 t=4346
hao bu 	好补	c=1 d=1 t=1193
hao che 	豪车	c=1 d=1 t=1722
hao duo 	好多	c=2 d=0.202909 t=4346
hao hua ban 	豪华版	c=2 d=1.99005 t=4323
hao kan 	好看	c=1 d=1 t=1634
hao ke pa 	好可怕	c=1 d=1 t=3600
hao ma 	号码	c=1 d=1 t=1618
hao mei 	好美	c=1 d=1 t=4000
hao qi lai 	好起来	c=1 d=1 t=569
hao shuo 	好说	c=1 d=1 t=2055
hao ting 	好听	c=1 d=1 t=4057
hao wan 	好玩	c=2 d=1.41149 t=2712
hao xiang 	好像	c=2 d=1.00294 t=3867
he 	和	c=26 d=5.05444 t=4346
he luo 	赫罗	c=1 d=1 t=3696
he zhe 	和这	c=1 d=1 t=3234
hei 	黑	c=2 d=1.38161 t=1111
hei bai 	黑白	c=1 d=0.321422 t=4346
hei jiao 	黑胶	c=1 d=1 t=4316
hei se 	黑色	c=1 d=1 t=1199
hei tie 	黑铁	c=2 d=0.390628 t=4346
hen 	很	c=7 d=1.00253 t=3802
hong 	红	c=1 d=0.010383 t=4346
hong ba fu 	红巴佛	c=1 d=0.10435 t=4346
hou 	后	c=1 d=1 t=3677
hou mian 	后面	c=1 d=1 t=3145
hou tai 	后台	c=2 d=1.65051 t=2672
hu guo 	护国	c=1 d=1 t=1808
hu lian wang 	互联网	c=2 d=1.74082 t=852
hua 	画	c=2 d=1.02692 t=4084
hua ban xie 	滑板鞋	c=1 d=0.603506 t=4346
hua fei 	话费	c=1 d=1 t=3574
hua feng 	画风	c=1 d=1 t=3926
hua guo 	滑过	c=1 d=1 t=3671
hua guo feng 	华国锋	c=1 d=0.0977834 t=4346
hua wei 	华为	c=2 d=1.31192 t=2808
hua yang hua bing 	花样滑冰	c=1 d=1 t=3007
hua yuan 	花园	c=2 d=0.474734 t=4346
huan 	换	c=8 d=1.20534 t=3972
huan ji 	换机	c=1 d=1 t=1025
huan ren 	换人	c=1 d=1 t=2787
huan yuan 	还原	c=1 d=1 t=2589
huang dao 	黄岛	c=0 d=0.1 t=4228
huang ye da biao ke 	荒野大镖客	c=3 d=0.273906 t=4346
hui 	会	c=7 d=0.878095 t=4346
hui 	回	c=2 d=1.36422 t=762
hui 	辉	c=1 d=1 t=735
hui fu 	回复	c=2 d=1.01699 t=3258
hui fu 	恢复	c=2 d=1.68045 t=2387
hui fu shu shi 	恢复术士	c=1 d=1 t=3259
hui hui 	惠惠	c=3 d=1.95609 t=4302
hui hui 	慧慧	c=2 d=1.20909 t=1190
hui jia 	回家	c=1 d=0.249075 t=4346
hui lai 	回来	c=3 d=0.201025 t=4346
hui qu 	回去	c=2 d=1.00006 t=3962
hui su 	回溯	c=1 d=0.128093 t=4346
hui tou 	回头	c=1 d=1 t=2002
hui tui 	回退	c=1 d=1 t=1448
hun 	混	c=15 d=1.30557 t=4018
hun zhan 	混战	c=1 d=1 t=1790
hun zi 	混子	c=1 d=1 t=1791
huo 	活	c=1 d=1 t=3092
huo 	货	c=1 d=1 t=3208
huo dong 	活动	c=1 d=1 t=3171
huo li 	活力	c=0 d=0.1 t=3948
ji 	几	c=2 d=1 t=4056
ji 	级	c=2 d=1 t=4253
ji 	集	c=1 d=1 t=2754
ji bai nian 	几百年	c=1 d=1 t=4303
ji ben 	基本	c=2 d=1.86071 t=3787
ji chang 	机场	c=3 d=1.44487 t=3220
ji ci 	几次	c=2 d=1.31982 t=1684
ji dong 	激动	c=1 d=1 t=1885
ji er 	继而	c=1 d=1 t=1708
ji fen 	几分	c=1 d=1 t=1275
ji ge 	几个	c=1 d=1 t=2948
ji huo ma 	激活码	c=3 d=2.98506 t=3541
ji li 	激励	c=1 d=1 t=1182
ji lu 	记录	c=1 d=1 t=4118
ji mao qian 	几毛钱	c=1 d=1 t=3834
ji mo 	寂寞	c=1 d=1 t=3930
ji neng 	技能	c=2 d=1.97531 t=2229
ji nian 	几年	c=1 d=1 t=2304
ji qi ren 	机器人	c=1 d=1 t=2548
ji shu 	基数	c=1 d=1 t=3004
ji suan 	计算	c=2 d=1.40454 t=732
ji suan ji 	计算机	c=4 d=3.47792 t=862
ji wa wa 	吉娃娃	c=1 d=1 t=1793
ji xing 	记性	c=1 d=1 t=1310
ji ya gao 	挤牙膏	c=1 d=1 t=931
jia 	加	c=1 d=1 t=3178
jia 	家	c=3 d=0.181772 t=4346
jia 	甲	c=1 d=1 t=3825
jia bi 	假币	c=1 d=1 t=2553
jia jian fa 	加减法	c=1 d=0.88692 t=4346
jia shi 	驾驶	c=1 d=1 t=834
jia su 	加速	c=6 d=0.740818 t=4346
jia xiao 	驾校	c=1 d=1 t=2390
jian 	剑	c=1 d=0.579842 t=4346
jian bi hua 	简笔画	c=1 d=1 t=4081
